codice_belfiore,denominazione_comune,anno,mese,titolo,categoria,totale_accertato,totale_incassato
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,Imposta di soggiorno,2922695.99,0.0
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,Tassa smaltimento rifiuti solidi urbani - TARES riscossa mediante ruoli,360242.38,0.0
015146,Milano,2016,1,TITOLO 2°: ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Altri trasferimenti correnti dallo Stato,426.08,0.0
015146,Milano,2016,1,TITOLO 2°: ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Altri trasferimenti correnti dalla Regione,140012.93,0.0
015146,Milano,2016,1,TITOLO 2°: ENTRATE DERIVANTI DA CONTRIBUTI E TRASFERIMENTI CORRENTI,Trasferimenti correnti da Unione europea,0.0,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Diritti di segreteria e rogito,115311.6,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Proventi da strutture residenziali per anziani,2138509.14,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Canoni per concessioni spazi e aree pubbliche,2614531.27,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Canoni per concessioni cimiteriali,219855.51,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Interessi da altri soggetti per finanziamenti a breve termine,5458.15,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Proventi diversi da enti del settore pubblico,5358441.23,0.0
015146,Milano,2016,1,"TITOLO 4°: ENTRATE DERIVANTI DA ALIENAZIONI, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONE DI CREDITI",Trasferimenti di capitale da famiglie,121697.8,0.0
015146,Milano,2016,1,TITOLO 6°: ENTRATE DA SERVIZI PER CONTO DI TERZI,Ritenute erariali,5733148.61,0.0
015146,Milano,2016,1,TITOLO 6°: ENTRATE DA SERVIZI PER CONTO DI TERZI,Altre ritenute al personale per conto di terzi,1072135.73,0.0
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,TASI riscossa attraverso altre forme,1453825.23,0.0
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,Imposta sulla pubblicità riscossa attraverso altre forme,4091.0,0.0
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,Diritti sulle pubbliche affissioni,2580.0,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Proventi da impianti sportivi,420978.71,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,"Proventi da teatri, musei, spettacoli, mostre",181863.83,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,"Proventi da trasporti funebri, pompe funebri, illuminazione votiva",332934.18,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Altri proventi da terreni e giacimenti,6660.0,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Altri proventi da edifici,343599.0,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Interessi moratori da imprese,7144.19,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,"Interessi attivi su prestiti a famiglie, inclusi gli interessi di mora",6659.17,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Rimborsi spese per personale comandato,257201.61,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Proventi da imprese e da soggetti privati,8205849.4,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Proventi diversi da istituzioni sociali private,22441.24,0.0
015146,Milano,2016,1,"TITOLO 4°: ENTRATE DERIVANTI DA ALIENAZIONI, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONE DI CREDITI",Proventi da aree cimiteriali in diritto di superficie,56762.06,0.0
015146,Milano,2016,1,"TITOLO 4°: ENTRATE DERIVANTI DA ALIENAZIONI, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONE DI CREDITI",Alienazione di potenziali edificatori e di diritti di superficie,244603.19,0.0
015146,Milano,2016,1,"TITOLO 4°: ENTRATE DERIVANTI DA ALIENAZIONI, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONE DI CREDITI",Altri trasferimenti di capitale dallo Stato con vincolo di destinazione,65751729.08,0.0
015146,Milano,2016,1,"TITOLO 4°: ENTRATE DERIVANTI DA ALIENAZIONI, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONE DI CREDITI",Proventi per concessioni edilizie,2955234.59,0.0
015146,Milano,2016,1,"TITOLO 4°: ENTRATE DERIVANTI DA ALIENAZIONI, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONE DI CREDITI",Altri trasferimenti di capitale da imprese,1617501.81,0.0
015146,Milano,2016,1,"TITOLO 4°: ENTRATE DERIVANTI DA ALIENAZIONI, DA TRASFERIMENTI DI CAPITALE E DA RISCOSSIONE DI CREDITI",Prelievi da conti bancari di deposito,15127158.14,0.0
015146,Milano,2016,1,TITOLO 5°: ENTRATE DERIVANTI DA ACCENSIONE DI PRESTITI,Mutui da Cassa depositi e prestiti - gestione CDP spa,10372009.91,0.0
015146,Milano,2016,1,TITOLO 6°: ENTRATE DA SERVIZI PER CONTO DI TERZI,Depositi cauzionali,869.78,0.0
015146,Milano,2016,1,ALTRI INCASSI DA REGOLARIZZARE (riscossioni codificate dal tesoriere),ALTRI INCASSI DA REGOLARIZZARE (riscossioni codificate dal tesoriere),0.0,0.0
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,ICI - IMU riscossa attraverso  ruoli,21620.37,0.0
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,Addizionale IRPEF,3580613.13,0.0
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,Imposta sulla pubblicità riscossa attraverso i ruoli,2439.24,0.0
015146,Milano,2016,1,TITOLO 1°: ENTRATE TRIBUTARIE,Tassa smaltimento rifiuti solidi urbani  - TARES riscossa attraverso altre forme,851722.11,0.0
015146,Milano,2016,1,TITOLO 3°: ENTRATE EXTRATRIBUTARIE,Proventi da asili nido,693.18,0.0
